"File: N:\Ca imaging data\2023 imaging data\2023-02 Feb imaging data\2023-0207 Roch rDRG PAR2 receptor trypsin\Analysis\Logs\EXP13.LOG"
"Date: Fri Feb 10 2023 10:18:52.231"
"Region 1: [Location: (2254, 2219), Size: (30, 71), Area: 2130]"
"Region 2: [Location: (2001, 258), Size: (118, 102), Area: 8932]"
"Region 3: [Location: (1609, 643), Size: (205, 183), Area: 24322]"
"Region 4: [Location: (1415, 567), Size: (120, 109), Area: 10100]"
"Region 5: [Location: (764, 542), Size: (111, 130), Area: 10293]"
"Region 6: [Location: (951, 475), Size: (128, 123), Area: 11932]"
"Region 7: [Location: (1130, 1048), Size: (82, 107), Area: 6427]"
"Region 8: [Location: (1310, 1039), Size: (173, 153), Area: 14245]"
"Region 9: [Location: (1838, 1698), Size: (143, 132), Area: 12596]"
"Region 10: [Location: (1718, 1807), Size: (111, 83), Area: 6072]"
"Region 11: [Location: (988, 1658), Size: (130, 130), Area: 13773]"
"Region 12: [Location: (774, 1489), Size: (74, 79), Area: 4598]"
"Region 13: [Location: (810, 1357), Size: (110, 73), Area: 5410]"
"Region 14: [Location: (888, 993), Size: (121, 119), Area: 10338]"
"Region 15: [Location: (695, 877), Size: (162, 126), Area: 12678]"
"Region 16: [Location: (361, 737), Size: (112, 140), Area: 11821]"
"Region 17: [Location: (489, 1042), Size: (170, 156), Area: 16688]"
"Region 18: [Location: (1043, 794), Size: (146, 168), Area: 17029]"
"Region 19: [Location: (498, 1734), Size: (148, 145), Area: 16575]"
"Region 20: [Location: (639, 1732), Size: (83, 79), Area: 4493]"
"Region 21: [Location: (1326, 1297), Size: (162, 145), Area: 16121]"
"Region 22: [Location: (1187, 1289), Size: (168, 158), Area: 17125]"
"Region 23: [Location: (1235, 2132), Size: (97, 102), Area: 6452]"
"Region 24: [Location: (541, 302), Size: (73, 57), Area: 3209]"
"Region 25: [Location: (722, 444), Size: (111, 108), Area: 9294]"
"Region 26: [Location: (1002, 199), Size: (73, 79), Area: 4465]"
"Region 27: [Location: (893, 277), Size: (82, 85), Area: 5414]"
"Region 28: [Location: (583, 573), Size: (69, 67), Area: 3583]"
"Region 29: [Location: (438, 490), Size: (73, 82), Area: 4640]"
"Region 30: [Location: (1631, 938), Size: (92, 82), Area: 5862]"
"Region 31: [Location: (1386, 473), Size: (73, 63), Area: 3543]"
"Region 32: [Location: (1199, 1719), Size: (82, 85), Area: 5414]"
"Region 33: [Location: (1280, 1699), Size: (76, 76), Area: 4446]"
"Region 34: [Location: (760, 2183), Size: (67, 69), Area: 3585]"
"Region 35: [Location: (912, 1825), Size: (60, 79), Area: 3668]"
"Region 36: [Location: (377, 1373), Size: (95, 60), Area: 4404]"
"Region 37: [Location: (1215, 719), Size: (79, 121), Area: 7449]"
"Region 38: [Location: (570, 744), Size: (70, 76), Area: 4122]"
"Region 39: [Location: (2157, 1738), Size: (50, 69), Area: 2672]"
"Region 40: [Location: (1315, 186), Size: (79, 73), Area: 4461]"
"Region 41: [Location: (725, 1009), Size: (73, 92), Area: 5212]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R1 R1", "R2 W1 Avg", "R2 W2 Avg", "R2 R1", "R3 W1 Avg", "R3 W2 Avg", "R3 R1", "R4 W1 Avg", "R4 W2 Avg", "R4 R1", "R5 W1 Avg", "R5 W2 Avg", "R5 R1", "R6 W1 Avg", "R6 W2 Avg", "R6 R1", "R7 W1 Avg", "R7 W2 Avg", "R7 R1", "R8 W1 Avg", "R8 W2 Avg", "R8 R1", "R9 W1 Avg", "R9 W2 Avg", "R9 R1", "R10 W1 Avg", "R10 W2 Avg", "R10 R1", "R11 W1 Avg", "R11 W2 Avg", "R11 R1", "R12 W1 Avg", "R12 W2 Avg", "R12 R1", "R13 W1 Avg", "R13 W2 Avg", "R13 R1", "R14 W1 Avg", "R14 W2 Avg", "R14 R1", "R15 W1 Avg", "R15 W2 Avg", "R15 R1", "R16 W1 Avg", "R16 W2 Avg", "R16 R1", "R17 W1 Avg", "R17 W2 Avg", "R17 R1", "R18 W1 Avg", "R18 W2 Avg", "R18 R1", "R19 W1 Avg", "R19 W2 Avg", "R19 R1", "R20 W1 Avg", "R20 W2 Avg", "R20 R1", "R21 W1 Avg", "R21 W2 Avg", "R21 R1", "R22 W1 Avg", "R22 W2 Avg", "R22 R1", "R23 W1 Avg", "R23 W2 Avg", "R23 R1", "R24 W1 Avg", "R24 W2 Avg", "R24 R1", "R25 W1 Avg", "R25 W2 Avg", "R25 R1", "R26 W1 Avg", "R26 W2 Avg", "R26 R1", "R27 W1 Avg", "R27 W2 Avg", "R27 R1", "R28 W1 Avg", "R28 W2 Avg", "R28 R1", "R29 W1 Avg", "R29 W2 Avg", "R29 R1", "R30 W1 Avg", "R30 W2 Avg", "R30 R1", "R31 W1 Avg", "R31 W2 Avg", "R31 R1", "R32 W1 Avg", "R32 W2 Avg", "R32 R1", "R33 W1 Avg", "R33 W2 Avg", "R33 R1", "R34 W1 Avg", "R34 W2 Avg", "R34 R1", "R35 W1 Avg", "R35 W2 Avg", "R35 R1", "R36 W1 Avg", "R36 W2 Avg", "R36 R1", "R37 W1 Avg", "R37 W2 Avg", "R37 R1", "R38 W1 Avg", "R38 W2 Avg", "R38 R1", "R39 W1 Avg", "R39 W2 Avg", "R39 R1", "R40 W1 Avg", "R40 W2 Avg", "R40 R1", "R41 W1 Avg", "R41 W2 Avg", "R41 R1"
9.88, 0.00, 0.00, 0.00, 12302.95, 22204.36, 0.61, 5543.61, 15675.38, 0.35, 7646.85, 13161.49, 0.57, 12054.30, 42680.44, 0.27, 5679.03, 11614.72, 0.49, 4388.87, 16378.78, 0.27, 5259.14, 13377.54, 0.38, 3678.41, 13215.42, 0.28, 2960.18, 10717.63, 0.29, 5135.82, 15258.39, 0.34, 16380.18, 17527.09, 0.91, 5062.69, 23376.42, 0.22, 7607.74, 12550.88, 0.61, 6460.78, 9251.32, 0.69, 3658.26, 11148.15, 0.33, 4665.67, 8607.84, 0.60, 6496.53, 16417.51, 0.41, 7853.35, 13886.97, 0.56, 3306.83, 10094.51, 0.33, 3805.45, 7359.96, 0.52, 4269.40, 8747.00, 0.49, 5603.36, 22659.14, 0.25, 2874.34, 9920.33, 0.30, 5108.65, 8035.04, 0.66, 1530.18, 5386.60, 0.29, 2302.27, 8603.02, 0.27, 2740.65, 10160.19, 0.28, 2222.15, 8588.38, 0.27, 4978.56, 16487.85, 0.32, 3334.96, 18852.34, 0.17, 2528.80, 8161.52, 0.33, 3413.05, 11650.59, 0.30, 4918.05, 19902.83, 0.25, 3491.79, 8896.28, 0.40, 1606.97, 6031.45, 0.28, 3321.59, 10378.45, 0.32, 2949.91, 9921.53, 0.30, 3496.02, 13336.50, 0.27, 2662.19, 7847.45, 0.34, 3385.57, 8083.85, 0.42
15.88, 0.00, 0.00, 0.00, 12697.56, 22076.30, 0.63, 5701.21, 15578.48, 0.36, 7876.15, 13098.84, 0.59, 12388.05, 42830.00, 0.28, 5844.13, 11539.33, 0.51, 4499.62, 16259.02, 0.28, 5397.58, 13228.92, 0.40, 3782.74, 13160.16, 0.29, 3040.19, 10693.29, 0.29, 5271.00, 15196.00, 0.35, 16826.41, 17421.01, 0.94, 5203.17, 23234.75, 0.23, 7803.77, 12460.82, 0.63, 6647.83, 9196.52, 0.71, 3762.16, 11087.06, 0.34, 4788.86, 8553.41, 0.62, 6674.34, 16317.29, 0.42, 8065.15, 13814.11, 0.58, 3393.17, 10045.76, 0.34, 3908.69, 7316.85, 0.53, 4383.96, 8699.84, 0.50, 5733.69, 22769.99, 0.25, 2972.38, 9895.39, 0.31, 5266.94, 8025.04, 0.68, 1572.91, 5360.08, 0.30, 2364.86, 8552.20, 0.28, 2816.63, 10149.44, 0.28, 2288.22, 8554.46, 0.28, 5117.51, 16388.66, 0.33, 3416.37, 18670.07, 0.18, 2595.26, 8122.28, 0.34, 3500.89, 11618.80, 0.31, 5051.86, 19880.93, 0.26, 3578.56, 8829.37, 0.41, 1647.29, 6004.49, 0.28, 3415.41, 10305.00, 0.33, 3038.98, 9851.36, 0.32, 3601.35, 13310.16, 0.28, 2742.09, 7796.44, 0.35, 3475.90, 8029.92, 0.44
9.88, 0.00, 0.00, 0.00, 12302.95, 22204.36, 0.61, 5543.61, 15675.38, 0.35, 7646.85, 13161.49, 0.57, 12054.30, 42680.44, 0.27, 5679.03, 11614.72, 0.49, 4388.87, 16378.78, 0.27, 5259.14, 13377.54, 0.38, 3678.41, 13215.42, 0.28, 2960.18, 10717.63, 0.29, 5135.82, 15258.39, 0.34, 16380.18, 17527.09, 0.91, 5062.69, 23376.42, 0.22, 7607.74, 12550.88, 0.61, 6460.78, 9251.32, 0.69, 3658.26, 11148.15, 0.33, 4665.67, 8607.84, 0.60, 6496.53, 16417.51, 0.41, 7853.35, 13886.97, 0.56, 3306.83, 10094.51, 0.33, 3805.45, 7359.96, 0.52, 4269.40, 8747.00, 0.49, 5603.36, 22659.14, 0.25, 2874.34, 9920.33, 0.30, 5108.65, 8035.04, 0.66, 1530.18, 5386.60, 0.29, 2302.27, 8603.02, 0.27, 2740.65, 10160.19, 0.28, 2222.15, 8588.38, 0.27, 4978.56, 16487.85, 0.32, 3334.96, 18852.34, 0.17, 2528.80, 8161.52, 0.33, 3413.05, 11650.59, 0.30, 4918.05, 19902.83, 0.25, 3491.79, 8896.28, 0.40, 1606.97, 6031.45, 0.28, 3321.59, 10378.45, 0.32, 2949.91, 9921.53, 0.30, 3496.02, 13336.50, 0.27, 2662.19, 7847.45, 0.34, 3385.57, 8083.85, 0.42
15.88, 0.00, 0.00, 0.00, 12697.56, 22076.30, 0.63, 5701.21, 15578.48, 0.36, 7876.15, 13098.84, 0.59, 12388.05, 42830.00, 0.28, 5844.13, 11539.33, 0.51, 4499.62, 16259.02, 0.28, 5397.58, 13228.92, 0.40, 3782.74, 13160.16, 0.29, 3040.19, 10693.29, 0.29, 5271.00, 15196.00, 0.35, 16826.41, 17421.01, 0.94, 5203.17, 23234.75, 0.23, 7803.77, 12460.82, 0.63, 6647.83, 9196.52, 0.71, 3762.16, 11087.06, 0.34, 4788.86, 8553.41, 0.62, 6674.34, 16317.29, 0.42, 8065.15, 13814.11, 0.58, 3393.17, 10045.76, 0.34, 3908.69, 7316.85, 0.53, 4383.96, 8699.84, 0.50, 5733.69, 22769.99, 0.25, 2972.38, 9895.39, 0.31, 5266.94, 8025.04, 0.68, 1572.91, 5360.08, 0.30, 2364.86, 8552.20, 0.28, 2816.63, 10149.44, 0.28, 2288.22, 8554.46, 0.28, 5117.51, 16388.66, 0.33, 3416.37, 18670.07, 0.18, 2595.26, 8122.28, 0.34, 3500.89, 11618.80, 0.31, 5051.86, 19880.93, 0.26, 3578.56, 8829.37, 0.41, 1647.29, 6004.49, 0.28, 3415.41, 10305.00, 0.33, 3038.98, 9851.36, 0.32, 3601.35, 13310.16, 0.28, 2742.09, 7796.44, 0.35, 3475.90, 8029.92, 0.44
21.88, 0.00, 0.00, 0.00, 12836.13, 22042.68, 0.64, 5750.59, 15546.07, 0.37, 7953.26, 13087.66, 0.59, 12507.07, 42849.96, 0.28, 5895.21, 11528.59, 0.51, 4533.08, 16239.84, 0.29, 5444.29, 13218.63, 0.40, 3816.98, 13144.14, 0.30, 3069.57, 10662.10, 0.30, 5319.87, 15134.67, 0.36, 16983.13, 17398.98, 0.95, 5249.83, 23151.05, 0.23, 7875.52, 12430.19, 0.63, 6708.43, 9189.29, 0.72, 3798.12, 11068.63, 0.35, 4831.12, 8540.09, 0.62, 6731.14, 16288.29, 0.42, 8141.88, 13799.69, 0.59, 3423.98, 10050.68, 0.35, 3945.82, 7302.31, 0.54, 4423.16, 8683.58, 0.51, 5775.31, 22809.81, 0.25, 3003.00, 9864.67, 0.32, 5320.51, 8029.92, 0.69, 1587.34, 5343.18, 0.30, 2384.13, 8545.91, 0.28, 2853.90, 10051.87, 0.29, 2308.27, 8545.37, 0.28, 5160.07, 16375.10, 0.33, 3449.26, 18605.71, 0.18, 2613.27, 8104.70, 0.35, 3531.63, 11606.91, 0.31, 5109.50, 19920.25, 0.26, 3614.99, 8815.51, 0.42, 1659.79, 5983.15, 0.29, 3455.12, 10297.52, 0.33, 3060.36, 9842.99, 0.32, 3640.00, 13302.66, 0.28, 2767.34, 7769.53, 0.35, 3505.06, 8004.40, 0.44
27.88, 0.00, 0.00, 0.00, 12907.29, 22027.89, 0.64, 5774.97, 15529.51, 0.37, 7976.79, 13086.73, 0.60, 12521.84, 43079.87, 0.28, 5923.89, 11530.49, 0.52, 4551.12, 16193.69, 0.29, 5455.03, 13211.46, 0.40, 3829.16, 13139.14, 0.30, 3085.69, 10692.10, 0.30, 5340.30, 15129.18, 0.36, 17043.46, 17402.23, 0.96, 5273.45, 23124.39, 0.23, 7905.60, 12417.43, 0.64, 6742.33, 9192.29, 0.72, 3813.27, 11056.12, 0.35, 4847.36, 8538.34, 0.62, 6756.96, 16274.66, 0.43, 8177.83, 13805.44, 0.59, 3438.51, 10043.58, 0.35, 3961.16, 7288.66, 0.54, 4440.82, 8667.40, 0.51, 5803.23, 22774.56, 0.25, 3018.04, 9833.65, 0.32, 5346.86, 8037.72, 0.69, 1594.36, 5340.17, 0.30, 2396.73, 8550.09, 0.28, 2851.07, 10111.39, 0.29, 2317.98, 8535.70, 0.28, 5183.96, 16392.71, 0.33, 3463.74, 18574.75, 0.18, 2624.56, 8097.69, 0.35, 3552.76, 11591.61, 0.31, 5153.82, 19933.61, 0.26, 3626.09, 8788.26, 0.42, 1666.94, 5964.11, 0.29, 3466.61, 10297.11, 0.33, 3076.06, 9823.47, 0.32, 3650.06, 13258.80, 0.28, 2778.15, 7792.35, 0.35, 3518.68, 7978.52, 0.44
33.88, 0.00, 0.00, 0.00, 12939.99, 21938.70, 0.65, 5783.24, 15469.69, 0.37, 7991.84, 13049.07, 0.60, 12583.62, 42821.41, 0.29, 5935.12, 11497.05, 0.52, 4565.80, 16141.20, 0.29, 5461.23, 13153.10, 0.40, 3838.17, 13081.66, 0.30, 3092.72, 10625.89, 0.30, 5348.48, 15081.61, 0.36, 17067.44, 17351.60, 0.96, 5278.89, 23058.07, 0.23, 7923.47, 12375.22, 0.64, 6756.14, 9159.77, 0.73, 3819.73, 11014.26, 0.35, 4856.43, 8505.96, 0.63, 6767.84, 16215.28, 0.43, 8177.96, 13742.01, 0.59, 3442.05, 10001.83, 0.35, 3968.09, 7262.57, 0.55, 4451.05, 8640.94, 0.51, 5814.43, 22682.07, 0.26, 3028.32, 9789.22, 0.32, 5360.81, 8011.98, 0.70, 1597.19, 5313.53, 0.31, 2397.39, 8515.46, 0.28, 2863.18, 9986.73, 0.29, 2325.84, 8505.49, 0.28, 5190.21, 16332.01, 0.34, 3468.75, 18493.34, 0.18, 2630.53, 8083.72, 0.35, 3546.79, 11590.17, 0.31, 5163.46, 19907.14, 0.26, 3631.72, 8740.68, 0.42, 1666.29, 5943.36, 0.29, 3470.51, 10256.15, 0.34, 3077.65, 9791.52, 0.32, 3663.57, 13241.69, 0.28, 2777.57, 7750.43, 0.35, 3521.21, 7952.44, 0.45
39.88, 0.00, 0.00, 0.00, 12949.07, 21946.09, 0.65, 5786.06, 15452.76, 0.37, 7999.41, 13068.07, 0.60, 12635.50, 42572.30, 0.29, 5936.06, 11511.97, 0.52, 4551.37, 16212.32, 0.29, 5457.98, 13153.53, 0.40, 3843.95, 13077.18, 0.30, 3094.52, 10636.08, 0.30, 5354.31, 15052.88, 0.36, 17107.26, 17419.55, 0.96, 5278.87, 23052.53, 0.23, 7920.51, 12373.06, 0.64, 6762.47, 9160.86, 0.73, 3824.84, 11005.20, 0.35, 4856.05, 8503.96, 0.63, 6769.23, 16213.23, 0.43, 8172.73, 13728.76, 0.59, 3448.58, 10010.86, 0.35, 3971.01, 7259.50, 0.55, 4453.92, 8634.87, 0.52, 5812.04, 22710.21, 0.26, 3033.93, 9767.53, 0.32, 5371.22, 8017.26, 0.70, 1597.44, 5298.75, 0.31, 2398.75, 8506.32, 0.28, 2860.39, 10038.87, 0.29, 2330.93, 8485.83, 0.28, 5202.88, 16344.42, 0.34, 3470.46, 18474.10, 0.18, 2630.78, 8073.39, 0.35, 3555.02, 11586.41, 0.31, 5180.74, 19965.43, 0.26, 3638.93, 8733.35, 0.42, 1665.73, 5954.33, 0.29, 3467.02, 10243.55, 0.34, 3083.09, 9776.34, 0.32, 3663.64, 13236.96, 0.28, 2777.45, 7750.57, 0.35, 3521.33, 7940.45, 0.45
45.88, 0.00, 0.00, 0.00, 12958.79, 21949.38, 0.65, 5786.85, 15431.26, 0.37, 8006.58, 13065.39, 0.60, 12656.67, 42478.07, 0.29, 5935.66, 11514.22, 0.52, 4547.06, 16220.07, 0.29, 5451.00, 13156.24, 0.40, 3842.35, 13079.02, 0.30, 3096.71, 10635.34, 0.30, 5351.86, 15063.96, 0.36, 17124.26, 17472.09, 0.96, 5281.38, 23015.36, 0.23, 7926.49, 12376.44, 0.64, 6765.89, 9161.82, 0.73, 3827.33, 10994.74, 0.35, 4857.16, 8495.42, 0.63, 6768.60, 16200.42, 0.43, 8176.25, 13738.79, 0.59, 3456.78, 10002.95, 0.35, 3972.71, 7255.23, 0.55, 4454.26, 8630.93, 0.52, 5821.83, 22704.94, 0.26, 3044.40, 9717.43, 0.33, 5379.03, 8026.10, 0.70, 1599.46, 5299.38, 0.31, 2404.26, 8511.63, 0.28, 2861.35, 10044.55, 0.29, 2326.61, 8489.04, 0.28, 5201.13, 16355.70, 0.34, 3472.41, 18459.70, 0.19, 2632.29, 8070.17, 0.35, 3560.17, 11576.41, 0.32, 5186.40, 20011.32, 0.26, 3636.45, 8730.84, 0.42, 1665.80, 5945.99, 0.29, 3460.44, 10224.11, 0.34, 3089.97, 9774.48, 0.32, 3661.84, 13227.42, 0.28, 2783.72, 7741.15, 0.36, 3522.73, 7931.90, 0.45
51.88, 0.00, 0.00, 0.00, 12956.86, 21860.33, 0.65, 5780.49, 15373.99, 0.37, 8004.51, 13041.91, 0.60, 12700.73, 42234.18, 0.29, 5934.43, 11481.67, 0.52, 4542.43, 16175.80, 0.29, 5446.07, 13090.12, 0.40, 3839.32, 13020.35, 0.30, 3093.04, 10595.59, 0.30, 5345.27, 15013.72, 0.36, 17130.52, 17432.46, 0.96, 5278.55, 22955.69, 0.24, 7923.85, 12335.35, 0.64, 6755.58, 9130.58, 0.73, 3822.14, 10955.43, 0.35, 4855.41, 8448.05, 0.63, 6763.36, 16134.51, 0.43, 8172.11, 13706.28, 0.59, 3450.60, 9967.17, 0.35, 3971.51, 7231.71, 0.55, 4450.68, 8596.34, 0.52, 5812.86, 22644.42, 0.26, 3036.29, 9723.77, 0.32, 5374.49, 8004.93, 0.70, 1595.06, 5278.67, 0.31, 2401.53, 8475.71, 0.28, 2863.62, 9971.75, 0.29, 2326.03, 8464.00, 0.28, 5193.46, 16275.00, 0.34, 3468.13, 18384.82, 0.19, 2628.28, 8026.19, 0.35, 3558.26, 11532.91, 0.32, 5186.26, 19927.94, 0.26, 3635.51, 8682.40, 0.43, 1668.23, 5914.98, 0.29, 3451.32, 10178.40, 0.34, 3088.12, 9753.44, 0.32, 3660.81, 13169.13, 0.28, 2774.34, 7700.94, 0.36, 3517.68, 7888.69, 0.45
