"File: N:\Ca imaging data\2023 imaging data\2023-02 Feb imaging data\2023-0203 22NSAPR124 Takeda Boston\LOGs\EXP01.LOG"
"Date: Fri Feb 3 2023 15:25:49.709"
"Region 1: [Location: (396, 308), Size: (64, 80), Area: 5120]"
"Region 2: [Location: (1005, 616), Size: (41, 37), Area: 1169]"
"Region 3: [Location: (334, 426), Size: (77, 109), Area: 6521]"
"Region 4: [Location: (670, 862), Size: (69, 73), Area: 3897]"
"Region 5: [Location: (1502, 1302), Size: (109, 65), Area: 5493]"
"Region 6: [Location: (1086, 1726), Size: (73, 45), Area: 2527]"
"Region 7: [Location: (498, 1646), Size: (57, 65), Area: 2869]"
"Region 8: [Location: (1586, 2094), Size: (93, 65), Area: 4685]"
"Region 9: [Location: (2146, 1394), Size: (77, 85), Area: 5073]"
"Region 10: [Location: (578, 1130), Size: (49, 53), Area: 2007]"
"Region 11: [Location: (430, 1322), Size: (65, 57), Area: 2867]"
"Region 12: [Location: (434, 934), Size: (61, 85), Area: 4015]"
"Region 13: [Location: (62, 362), Size: (89, 93), Area: 6445]"
"Region 14: [Location: (38, 618), Size: (89, 77), Area: 5317]"
"Region 15: [Location: (82, 698), Size: (49, 57), Area: 2159]"
"Region 16: [Location: (798, 1374), Size: (97, 89), Area: 6713]"
"Region 17: [Location: (682, 1458), Size: (85, 77), Area: 5069]"
"Region 18: [Location: (1182, 1318), Size: (81, 73), Area: 4575]"
"Region 19: [Location: (1362, 1422), Size: (65, 65), Area: 3277]"
"Region 20: [Location: (1422, 1450), Size: (41, 57), Area: 1809]"
"Region 21: [Location: (1558, 1506), Size: (73, 89), Area: 5045]"
"Region 22: [Location: (2154, 2018), Size: (89, 81), Area: 5597]"
"Region 23: [Location: (1026, 2082), Size: (65, 65), Area: 3277]"
"Region 24: [Location: (1438, 602), Size: (93, 81), Area: 5839]"
"Region 25: [Location: (294, 214), Size: (69, 61), Area: 3247]"
"Region 26: [Location: (1798, 1690), Size: (57, 65), Area: 2869]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R1 R1", "R2 W1 Avg", "R2 W2 Avg", "R2 R1", "R3 W1 Avg", "R3 W2 Avg", "R3 R1", "R4 W1 Avg", "R4 W2 Avg", "R4 R1", "R5 W1 Avg", "R5 W2 Avg", "R5 R1", "R6 W1 Avg", "R6 W2 Avg", "R6 R1", "R7 W1 Avg", "R7 W2 Avg", "R7 R1", "R8 W1 Avg", "R8 W2 Avg", "R8 R1", "R9 W1 Avg", "R9 W2 Avg", "R9 R1", "R10 W1 Avg", "R10 W2 Avg", "R10 R1", "R11 W1 Avg", "R11 W2 Avg", "R11 R1", "R12 W1 Avg", "R12 W2 Avg", "R12 R1", "R13 W1 Avg", "R13 W2 Avg", "R13 R1", "R14 W1 Avg", "R14 W2 Avg", "R14 R1", "R15 W1 Avg", "R15 W2 Avg", "R15 R1", "R16 W1 Avg", "R16 W2 Avg", "R16 R1", "R17 W1 Avg", "R17 W2 Avg", "R17 R1", "R18 W1 Avg", "R18 W2 Avg", "R18 R1", "R19 W1 Avg", "R19 W2 Avg", "R19 R1", "R20 W1 Avg", "R20 W2 Avg", "R20 R1", "R21 W1 Avg", "R21 W2 Avg", "R21 R1", "R22 W1 Avg", "R22 W2 Avg", "R22 R1", "R23 W1 Avg", "R23 W2 Avg", "R23 R1", "R24 W1 Avg", "R24 W2 Avg", "R24 R1", "R25 W1 Avg", "R25 W2 Avg", "R25 R1", "R26 W1 Avg", "R26 W2 Avg", "R26 R1"
0.47, 180.74, 413.10, 0.52, 5396.62, 39720.91, 0.14, 1404.80, 6244.11, 0.24, 1766.02, 10049.25, 0.20, 2284.07, 9932.26, 0.24, 4968.28, 31846.56, 0.16, 6027.36, 40703.70, 0.15, 2173.68, 10485.83, 0.21, 1857.14, 8579.47, 0.22, 2673.60, 14425.87, 0.19, 1647.24, 8099.74, 0.21, 1020.16, 5431.69, 0.19, 753.31, 2118.50, 0.37, 667.87, 2239.38, 0.31, 1103.76, 6001.71, 0.18, 1112.39, 5734.75, 0.20, 905.54, 4139.02, 0.23, 3539.51, 15747.81, 0.24, 1461.09, 7668.51, 0.19, 1818.78, 10673.56, 0.19, 1395.73, 5872.72, 0.24, 1521.04, 5822.99, 0.27, 2499.55, 5991.01, 0.42, 3301.07, 7837.97, 0.42, 562.29, 1972.00, 0.29, 2267.72, 11177.63, 0.21
6.47, 181.73, 413.41, 0.52, 5527.23, 39634.85, 0.14, 1439.63, 6246.44, 0.24, 1804.83, 10028.72, 0.20, 2327.82, 9974.07, 0.24, 5068.81, 31944.76, 0.16, 6157.96, 40733.18, 0.15, 2214.28, 10489.79, 0.22, 1895.78, 8589.28, 0.23, 2729.89, 14407.97, 0.19, 1681.37, 8113.95, 0.21, 1040.00, 5415.16, 0.20, 770.32, 2123.50, 0.38, 680.90, 2239.63, 0.32, 1127.76, 6002.08, 0.19, 1133.94, 5745.17, 0.21, 922.74, 4144.59, 0.23, 3605.42, 15796.76, 0.24, 1487.61, 7678.05, 0.20, 1850.82, 10706.72, 0.19, 1422.80, 5870.38, 0.25, 1551.39, 5831.27, 0.28, 2525.66, 6182.53, 0.41, 3374.63, 7838.42, 0.43, 573.04, 1969.48, 0.30, 2311.76, 11164.84, 0.22
12.47, 183.16, 412.54, 0.53, 5577.25, 39418.93, 0.14, 1453.11, 6243.21, 0.24, 1822.23, 9982.34, 0.20, 2355.32, 9932.07, 0.24, 5135.47, 31798.72, 0.16, 6236.24, 40605.71, 0.16, 2240.27, 10450.96, 0.22, 1917.72, 8576.37, 0.23, 2755.89, 14364.93, 0.19, 1705.27, 8089.29, 0.22, 1052.15, 5390.73, 0.20, 779.12, 2118.11, 0.38, 690.28, 2230.96, 0.33, 1142.00, 5991.21, 0.19, 1146.99, 5721.86, 0.21, 934.16, 4133.39, 0.24, 3666.45, 15633.83, 0.25, 1506.42, 7648.91, 0.20, 1873.04, 10647.09, 0.20, 1439.60, 5856.62, 0.25, 1570.84, 5812.91, 0.28, 2601.98, 5761.23, 0.46, 3419.59, 7813.54, 0.44, 581.68, 1947.58, 0.30, 2340.73, 11090.60, 0.22
18.47, 183.90, 411.82, 0.53, 5640.13, 39346.72, 0.14, 1468.13, 6252.68, 0.25, 1838.96, 9953.01, 0.21, 2371.46, 9926.10, 0.25, 5189.32, 31740.69, 0.17, 6305.66, 40572.81, 0.16, 2262.22, 10421.54, 0.22, 1937.34, 8566.05, 0.23, 2774.96, 14342.17, 0.19, 1721.65, 8032.39, 0.22, 1063.72, 5387.66, 0.20, 786.66, 2114.40, 0.39, 696.49, 2231.55, 0.33, 1150.94, 5985.43, 0.19, 1154.54, 5729.85, 0.21, 941.60, 4133.47, 0.24, 3695.69, 15529.25, 0.25, 1519.59, 7640.58, 0.20, 1879.29, 10623.80, 0.20, 1451.62, 5852.89, 0.25, 1584.60, 5802.89, 0.28, 2608.60, 5651.89, 0.47, 3455.40, 7801.61, 0.44, 583.62, 1952.43, 0.30, 2357.37, 11053.65, 0.22
24.47, 184.64, 408.90, 0.53, 5675.06, 39238.81, 0.14, 1480.19, 6232.56, 0.25, 1845.86, 9922.77, 0.21, 2386.03, 9927.55, 0.25, 5226.67, 31645.65, 0.17, 6341.54, 40501.65, 0.16, 2277.12, 10413.90, 0.22, 1952.74, 8530.95, 0.24, 2790.03, 14290.06, 0.20, 1726.05, 8106.89, 0.22, 1067.05, 5378.26, 0.20, 791.96, 2110.02, 0.39, 701.32, 2228.35, 0.33, 1161.94, 5987.16, 0.19, 1164.16, 5715.66, 0.21, 949.25, 4133.29, 0.24, 3725.52, 15426.66, 0.26, 1529.70, 7628.66, 0.20, 1892.43, 10622.04, 0.20, 1460.35, 5824.71, 0.26, 1594.31, 5803.43, 0.28, 2615.86, 5718.42, 0.46, 3478.42, 7799.77, 0.45, 588.50, 1954.40, 0.31, 2375.76, 11029.94, 0.22
30.47, 185.06, 409.46, 0.54, 5718.12, 39405.43, 0.15, 1489.41, 6223.50, 0.25, 1850.80, 9923.20, 0.21, 2398.48, 9951.95, 0.25, 5253.05, 31717.58, 0.17, 6372.27, 40591.17, 0.16, 2290.33, 10439.82, 0.23, 1962.08, 8569.14, 0.24, 2807.51, 14305.98, 0.20, 1737.06, 8124.41, 0.22, 1072.61, 5393.84, 0.21, 794.83, 2117.33, 0.39, 704.07, 2236.94, 0.33, 1166.76, 5990.61, 0.19, 1169.84, 5731.44, 0.21, 955.38, 4149.02, 0.24, 3740.38, 15434.85, 0.26, 1537.87, 7640.81, 0.20, 1906.28, 10619.11, 0.20, 1467.02, 5834.63, 0.26, 1604.86, 5824.95, 0.29, 2620.73, 6025.43, 0.44, 3495.80, 7802.53, 0.45, 589.15, 1946.82, 0.31, 2384.35, 11012.99, 0.22
36.47, 184.83, 410.16, 0.53, 5740.22, 39324.43, 0.15, 1501.72, 6208.16, 0.25, 1868.14, 9833.92, 0.21, 2409.48, 9909.47, 0.25, 5275.32, 31663.30, 0.17, 6407.19, 40462.38, 0.16, 2300.04, 10412.27, 0.23, 1971.73, 8532.40, 0.24, 2818.68, 14294.28, 0.20, 1743.72, 8114.59, 0.22, 1085.36, 5309.46, 0.21, 798.64, 2115.96, 0.39, 709.44, 2223.97, 0.34, 1173.65, 5962.67, 0.20, 1173.83, 5703.38, 0.21, 960.91, 4133.45, 0.24, 3760.28, 15431.01, 0.26, 1543.92, 7603.93, 0.20, 1916.88, 10574.17, 0.20, 1473.58, 5831.56, 0.26, 1613.28, 5807.90, 0.29, 2657.37, 5826.52, 0.46, 3517.38, 7778.26, 0.45, 593.11, 1937.42, 0.31, 2405.67, 10995.12, 0.23
42.47, 184.95, 411.41, 0.53, 5774.52, 39386.49, 0.15, 1504.80, 6243.00, 0.25, 1876.49, 9808.90, 0.21, 2418.68, 9931.46, 0.25, 5297.67, 31753.20, 0.17, 6438.41, 40510.43, 0.16, 2309.03, 10420.84, 0.23, 1982.56, 8579.71, 0.24, 2826.80, 14302.58, 0.20, 1749.19, 8170.93, 0.22, 1082.11, 5388.56, 0.21, 804.49, 2110.21, 0.40, 711.07, 2232.72, 0.34, 1180.73, 5982.06, 0.20, 1180.25, 5710.54, 0.21, 963.33, 4148.37, 0.24, 3767.55, 15479.40, 0.26, 1551.04, 7621.83, 0.20, 1922.36, 10605.87, 0.20, 1477.14, 5838.69, 0.26, 1621.00, 5822.25, 0.29, 2660.64, 5843.54, 0.46, 3532.26, 7795.46, 0.45, 596.72, 1932.44, 0.31, 2411.73, 11004.98, 0.23
48.47, 185.17, 412.61, 0.53, 5792.65, 39357.20, 0.15, 1507.99, 6269.99, 0.25, 1880.94, 9802.04, 0.21, 2427.52, 9938.20, 0.25, 5325.11, 31723.62, 0.17, 6453.43, 40521.85, 0.16, 2314.67, 10416.78, 0.23, 1986.42, 8577.49, 0.24, 2833.86, 14308.88, 0.20, 1759.30, 8140.13, 0.22, 1086.30, 5381.03, 0.21, 805.60, 2115.28, 0.40, 715.77, 2231.70, 0.34, 1181.60, 5990.85, 0.20, 1183.25, 5701.07, 0.22, 966.37, 4152.75, 0.24, 3774.77, 15518.26, 0.26, 1557.86, 7595.81, 0.21, 1933.43, 10559.53, 0.20, 1483.62, 5833.97, 0.26, 1628.86, 5827.85, 0.29, 2672.98, 5881.61, 0.46, 3546.61, 7785.54, 0.46, 597.37, 1940.28, 0.31, 2423.20, 11011.42, 0.23
54.47, 185.69, 412.27, 0.54, 5803.01, 39340.90, 0.15, 1516.84, 6255.54, 0.25, 1878.93, 9853.97, 0.21, 2432.64, 9922.00, 0.25, 5342.37, 31652.54, 0.17, 6472.30, 40466.90, 0.16, 2323.82, 10408.81, 0.23, 1992.52, 8565.38, 0.24, 2834.04, 14304.78, 0.20, 1758.50, 8147.14, 0.22, 1086.40, 5388.93, 0.21, 808.84, 2116.29, 0.40, 717.77, 2229.35, 0.34, 1189.82, 5983.00, 0.20, 1184.35, 5695.52, 0.22, 970.66, 4146.50, 0.24, 3779.73, 15509.16, 0.26, 1564.92, 7574.20, 0.21, 1941.72, 10540.38, 0.21, 1486.31, 5821.98, 0.26, 1635.04, 5818.87, 0.29, 2687.77, 5805.18, 0.47, 3555.43, 7798.48, 0.46, 599.00, 1941.40, 0.31, 2424.26, 10981.14, 0.23
